,Trip Start Timestamp,Trip Miles,Pickup Community Area,Fare,Tips,Company,Pickup Centroid Latitude,Pickup Centroid Longitude
207,03/01/2021 09:15:00 AM,1.95,4.0,10.0,0.77,Flash Cab,41.975170943,-87.687515515
223,03/01/2021 09:45:00 AM,9.3,33.0,24.75,5.05,Taxi Affiliation Services,41.857183858,-87.620334624
242,03/01/2021 10:00:00 AM,13.6,49.0,35.75,3.0,Taxi Affiliation Services,41.706587882,-87.623366512
251,03/01/2021 10:00:00 AM,9.45,39.0,31.25,6.35,Flash Cab,41.808916283,-87.596183344
269,03/01/2021 10:15:00 AM,2.1,13.0,8.5,2.0,Chicago Independents,41.983636307,-87.723583185
271,03/01/2021 10:15:00 AM,16.7,56.0,42.5,13.9,"Taxicab Insurance Agency, LLC",41.785998518,-87.750934289
315,03/01/2021 10:45:00 AM,2.21,65.0,12.25,3.19,Sun Taxi,41.769778059,-87.726929842
317,03/01/2021 10:45:00 AM,8.51,68.0,23.25,0.07,Flash Cab,41.777196255,-87.642497527
323,03/01/2021 10:45:00 AM,2.0,11.0,8.5,3.0,Flash Cab,41.978829526,-87.771166703
358,03/01/2021 11:30:00 AM,0.4,39.0,18.75,8.0,Taxi Affiliation Services,41.805911699,-87.587479258
362,03/01/2021 11:30:00 AM,0.9,8.0,5.75,5.0,Sun Taxi,41.892507781,-87.626214906
430,03/01/2021 12:30:00 PM,0.7,36.0,5.5,3.0,Taxi Affiliation Services,41.82371281,-87.602350437
446,03/01/2021 12:45:00 PM,7.7,40.0,22.0,2.0,Taxi Affiliation Services,41.792357223,-87.61793138
458,03/01/2021 01:00:00 PM,9.43,8.0,27.25,0.09,Flash Cab,41.898331794,-87.620762865
474,03/01/2021 01:15:00 PM,2.56,3.0,10.0,4.0,Flash Cab,41.972929317,-87.650290074
525,03/01/2021 01:45:00 PM,0.6,17.0,28.0,2.0,Taxi Affiliation Services,41.94651142,-87.806020002
529,03/01/2021 02:00:00 PM,1.5,8.0,7.25,2.0,Taxi Affiliation Services,41.900221297,-87.629105186
578,03/01/2021 02:30:00 PM,8.9,43.0,24.0,3.0,Taxi Affiliation Services,41.761577908,-87.572781987
604,03/01/2021 03:00:00 PM,1.8,31.0,7.5,3.0,Taxi Affiliation Services,41.850266366,-87.667569312
611,03/01/2021 03:00:00 PM,4.0,28.0,14.0,4.35,City Service,41.870415,-87.675085621
637,03/01/2021 03:15:00 PM,1.3,8.0,7.25,1.45,Chicago Independents,41.890922026,-87.618868355
643,03/01/2021 03:30:00 PM,9.7,62.0,26.75,6.25,"Taxicab Insurance Agency, LLC",41.792981903,-87.724208194
655,03/01/2021 03:30:00 PM,9.0,27.0,27.0,0.07,Flash Cab,41.878914496,-87.70589713
659,03/01/2021 03:45:00 PM,2.02,33.0,9.0,1.8,Sun Taxi,41.859349715,-87.617358006
714,03/01/2021 04:30:00 PM,2.06,66.0,9.0,10.0,Flash Cab,41.771848515,-87.695666342
789,03/01/2021 05:15:00 PM,10.93,75.0,28.0,0.07,Flash Cab,41.689729914,-87.669054403
807,03/01/2021 05:30:00 PM,5.8,19.0,18.75,5.0,Taxi Affiliation Services,41.927260956,-87.765501609
1135,03/01/2021 10:30:00 PM,8.4,15.0,22.0,5.6,Taxi Affiliation Services,41.954027649,-87.763399032
1138,03/01/2021 10:45:00 PM,4.1,60.0,14.5,3.75,Taxi Affiliation Services,41.836150155,-87.648787952
1220,03/02/2021 06:00:00 AM,13.0,46.0,32.75,5.0,Taxi Affiliation Services,41.741242728,-87.551428197
1285,03/02/2021 08:30:00 AM,1.3,28.0,7.0,3.0,City Service,41.885300022,-87.642808466
1380,03/02/2021 10:00:00 AM,8.66,23.0,29.25,0.07,Flash Cab,41.900069603,-87.720918238
1389,03/02/2021 10:15:00 AM,6.53,71.0,19.0,3.9,Flash Cab,41.744205146,-87.656305986
1406,03/02/2021 10:15:00 AM,1.02,59.0,5.5,0.07,Sun Taxi,41.829922304,-87.672502646
1434,03/02/2021 11:00:00 AM,1.37,32.0,7.75,2.0,City Service,41.877406123,-87.621971652
1497,03/02/2021 12:00:00 PM,1.8,8.0,7.75,3.0,Top Cab Affiliation,41.909495669,-87.630963601
1540,03/02/2021 12:45:00 PM,10.8,55.0,29.75,1.51,Flash Cab,41.663670652,-87.540935513
1542,03/02/2021 12:45:00 PM,10.17,50.0,26.75,0.07,Flash Cab,41.706125752,-87.598255838
1580,03/02/2021 01:15:00 PM,1.37,8.0,7.25,2.0,Flash Cab,41.902788048,-87.62614559
1605,03/02/2021 01:30:00 PM,0.7,8.0,5.25,4.0,Taxi Affiliation Services,41.899155613,-87.626210532
1610,03/02/2021 01:30:00 PM,12.11,53.0,30.75,0.07,Flash Cab,41.673819904,-87.635739777
1639,03/02/2021 01:45:00 PM,7.48,37.0,20.75,0.77,Flash Cab,41.80908443,-87.632424524
1653,03/02/2021 02:00:00 PM,0.3,20.0,16.25,5.0,Taxi Affiliation Services,41.924347077,-87.734739754
1657,03/02/2021 02:00:00 PM,0.5,25.0,23.75,7.25,Taxi Affiliation Services,41.890608853,-87.756046711
1664,03/02/2021 02:15:00 PM,0.7,8.0,5.5,4.0,"Taxicab Insurance Agency, LLC",41.900265687,-87.63210922
1688,03/02/2021 02:30:00 PM,4.91,10.0,14.25,2.61,Flash Cab,41.985015101,-87.804532006
1716,03/02/2021 02:45:00 PM,6.02,77.0,17.0,3.5,Flash Cab,41.978875058,-87.657871263
1777,03/02/2021 03:45:00 PM,3.15,6.0,11.75,0.7,Flash Cab,41.934762456,-87.639853859
1882,03/02/2021 05:00:00 PM,1.4,28.0,7.75,2.0,"Taxicab Insurance Agency, LLC",41.88528132,-87.6572332
1935,03/02/2021 05:15:00 PM,0.45,8.0,4.25,1.5,Flash Cab,41.907520075,-87.6266589
1980,03/02/2021 05:45:00 PM,2.3,8.0,9.25,2.44,Medallion Leasin,41.892042136,-87.63186395
2302,03/03/2021 08:15:00 AM,11.67,42.0,31.75,3.0,Flash Cab,41.77887686,-87.594925439
2345,03/03/2021 09:15:00 AM,9.02,63.0,26.25,0.07,Flash Cab,41.795430631,-87.696435232
2381,03/03/2021 09:45:00 AM,9.34,74.0,29.5,0.7,Flash Cab,41.694878966,-87.713192497
2468,03/03/2021 11:15:00 AM,8.39,6.0,23.25,0.07,Flash Cab,41.934650448,-87.634647877
2472,03/03/2021 11:15:00 AM,4.77,3.0,14.75,2.29,Flash Cab,41.958154876,-87.653021789
2489,03/03/2021 11:30:00 AM,2.36,67.0,11.0,0.07,Flash Cab,41.775928827,-87.666596265
2543,03/03/2021 12:30:00 PM,3.01,73.0,14.0,2.9,Flash Cab,41.717493036,-87.648895072
2604,03/03/2021 01:30:00 PM,9.6,45.0,37.75,0.01,Taxi Affiliation Services,41.744199535,-87.586348318
2616,03/03/2021 01:45:00 PM,14.6,64.0,37.0,2.0,Taxi Affiliation Services,41.779582888,-87.768510849
2631,03/03/2021 02:00:00 PM,1.88,7.0,7.5,3.0,Flash Cab,41.914616286,-87.631717366
2701,03/03/2021 03:15:00 PM,9.44,72.0,30.25,0.07,Flash Cab,41.713148612,-87.675075312
2771,03/03/2021 04:30:00 PM,5.65,51.0,24.5,0.07,Flash Cab,41.690633347,-87.570058269
2776,03/03/2021 04:30:00 PM,12.9,47.0,34.5,5.0,Taxi Affiliation Services,41.728182061,-87.596475596
3527,03/04/2021 11:30:00 AM,12.12,57.0,30.5,4.65,Flash Cab,41.810879008,-87.726363325
3555,03/04/2021 12:00:00 PM,4.6,8.0,15.0,2.25,Medallion Leasin,41.89321636,-87.63784421
4154,03/04/2021 06:30:00 PM,8.74,52.0,27.0,0.07,Flash Cab,41.707311449,-87.534902901
4725,03/05/2021 11:15:00 AM,6.81,6.0,21.5,4.4,Flash Cab,41.936310131,-87.651562592
4761,03/05/2021 12:00:00 PM,3.18,26.0,11.5,1.0,Flash Cab,41.878594358,-87.730232428
4910,03/05/2021 01:45:00 PM,2.7,28.0,10.0,1.5,"Taxicab Insurance Agency, LLC",41.87866742,-87.671653621
4945,03/05/2021 02:15:00 PM,1.0,32.0,7.0,0.7,Medallion Leasin,41.87101588,-87.631406525
5009,03/05/2021 03:00:00 PM,0.8,61.0,36.25,4.25,Taxi Affiliation Services,41.80901825,-87.659166599
5152,03/05/2021 05:00:00 PM,1.83,32.0,8.75,2.0,Flash Cab,41.870607372,-87.622172937
5465,03/05/2021 07:30:00 PM,0.1,8.0,8.5,2.0,Taxi Affiliation Services,41.905857769,-87.630865027
6819,03/07/2021 12:00:00 PM,15.53,7.0,39.25,8.44,Sun Taxi,41.929077655,-87.646293476
8861,03/09/2021 09:45:00 AM,4.51,7.0,14.0,3.62,Flash Cab,41.92926299,-87.635890954
8918,03/09/2021 10:45:00 AM,11.59,30.0,30.0,4.58,Flash Cab,41.839086906,-87.714003807
9936,03/10/2021 09:15:00 AM,1.01,59.0,5.5,2.0,Flash Cab,41.833517886,-87.681355829
11127,03/11/2021 11:00:00 AM,1.5,28.0,7.5,5.0,"Taxicab Insurance Agency, LLC",41.867902418,-87.642958665
12156,03/12/2021 07:30:00 AM,6.98,1.0,21.25,10.0,Flash Cab,42.021223593,-87.669824772
12319,03/12/2021 10:15:00 AM,3.55,6.0,12.25,5.0,Flash Cab,41.938391258,-87.63857492
12413,03/12/2021 11:15:00 AM,11.59,58.0,29.25,4.46,Flash Cab,41.817366208,-87.698860797
12446,03/12/2021 11:45:00 AM,1.89,8.0,8.75,0.77,Flash Cab,41.907412816,-87.640901525
12483,03/12/2021 12:15:00 PM,6.28,7.0,18.25,3.75,Flash Cab,41.921877461,-87.66407824
14171,03/13/2021 04:00:00 PM,0.87,8.0,6.5,1.5,Patriot Taxi Dba Peace Taxi Associat,41.892072635,-87.628874157
14777,03/13/2021 09:45:00 PM,1.0,8.0,5.75,2.0,Sun Taxi,41.904935302,-87.649907226
16481,03/15/2021 10:15:00 AM,3.9,6.0,12.0,3.0,Medallion Leasin,41.953400044,-87.646007066
17016,03/15/2021 04:15:00 PM,6.13,77.0,18.0,3.7,Flash Cab,41.980157574,-87.652274017
18158,03/16/2021 12:15:00 PM,13.55,6.0,35.0,7.1,Flash Cab,41.950605232,-87.671332488
19340,03/17/2021 10:00:00 AM,8.2,40.0,22.75,2.5,Taxi Affiliation Services,41.800260095,-87.617576172
20830,03/18/2021 06:30:00 AM,6.94,9.0,19.0,2.92,Flash Cab,42.007612593,-87.813781034
22671,03/19/2021 08:00:00 AM,7.75,77.0,21.25,4.35,Flash Cab,41.994442248,-87.665224776
24278,03/19/2021 11:45:00 PM,1.34,8.0,6.75,3.0,Flash Cab,41.90749193,-87.63576009
24567,03/20/2021 11:15:00 AM,0.3,6.0,17.5,3.6,Taxi Affiliation Services,41.949829346,-87.64396537
25013,03/20/2021 04:30:00 PM,4.7,3.0,14.75,2.29,Medallion Leasin,41.962178629,-87.645378762
26152,03/21/2021 02:30:00 PM,0.5,41.0,23.25,12.0,Taxi Affiliation Services,41.790506261,-87.583143717
28565,03/23/2021 08:30:00 AM,6.44,77.0,18.5,2.85,Flash Cab,41.980606166,-87.654537868
29019,03/23/2021 01:45:00 PM,4.19,6.0,13.75,10.0,Flash Cab,41.943237122,-87.643470956
30178,03/24/2021 10:15:00 AM,3.2,6.0,10.5,3.25,Taxi Affiliation Services,41.943155086,-87.640698076
30499,03/24/2021 02:15:00 PM,8.71,18.0,25.25,2.0,Flash Cab,41.929297368,-87.798032181
31688,03/25/2021 11:00:00 AM,0.5,41.0,23.0,5.85,Taxi Affiliation Services,41.7904694,-87.601285122
32603,03/25/2021 06:45:00 PM,12.63,8.0,33.5,5.32,Sun Taxi,41.891971508,-87.612945414
33501,03/26/2021 11:30:00 AM,9.51,54.0,28.0,5.7,Flash Cab,41.660136051,-87.60284764
33857,03/26/2021 02:45:00 PM,0.72,77.0,5.25,3.0,Flash Cab,41.985472422,-87.653793529
41499,03/31/2021 01:00:00 PM,9.9,4.0,28.5,5.8,Setare Inc,41.9725808,-87.694001061
